"","title","author","subject","abstract","date"
"73","efficient algorithms for personalized pagerank computation: a survey","mingji yang, hanzhi wang, zhewei wei, sibo wang, ji-rong wen","data structures and algorithms","personalized pagerank (ppr) is a traditional measure for node proximity on large graphs. for a pair of nodes $s$ and $t$, the ppr value $\pi_s(t)$ equals the probability that an $\alpha$-discounted random walk from $s$ terminates at $t$ and reflects the importance between $s$ and $t$ in a bidirectional way. as a generalization of google's celebrated pagerank centrality, ppr has been extensively studied and has found multifaceted applications in many fields, such as network analysis, graph mining, and graph machine learning. despite numerous studies devoted to ppr over the decades, efficient computation of ppr remains a challenging problem, and there is a dearth of systematic summaries and comparisons of existing algorithms. in this paper, we recap several frequently used techniques for ppr computation and conduct a comprehensive survey of various recent ppr algorithms from an algorithmic perspective. we classify these approaches based on the types of queries they address and review their methodologies and contributions. we also discuss some representative algorithms for computing ppr on dynamic graphs and in parallel or distributed environments.",2024-03-08
"74","putting language into context using smartphone-based keyboard logging","florian bemmann, timo koch, maximilian bergmann, clemens stachl, daniel buschek, ramona schoedel, sven mayer","human-computer interaction","while the study of language as typed on smartphones offers valuable insights, existing data collection methods often fall short in providing contextual information and ensuring user privacy. we present a privacy-respectful approach - context-enriched keyboard logging - that allows for the extraction of contextual information on the user's input motive, which is meaningful for linguistics, psychology, and behavioral sciences. in particular, with our approach, we enable distinguishing language contents by their channel (i.e., comments, messaging, search inputs). filtering by channel allows for better pre-selection of data, which is in the interest of researchers and improves users' privacy. we demonstrate our approach on a large-scale six-month user study (n=624) of language use in smartphone interactions in the wild. finally, we highlight the implications for research on language use in human-computer interaction and interdisciplinary contexts.",2024-03-08
"75","inverse design of photonic crystal surface emitting lasers is a sequence modeling problem","ceyao zhang, renjie li, cheng zhang, zhaoyu zhang, feng yin","applied physics","photonic crystal surface emitting lasers (pcsel)'s inverse design demands expert knowledge in physics, materials science, and quantum mechanics which is prohibitively labor-intensive. advanced ai technologies, especially reinforcement learning (rl), have emerged as a powerful tool to augment and accelerate this inverse design process. by modeling the inverse design of pcsel as a sequential decision-making problem, rl approaches can construct a satisfactory pcsel structure from scratch. however, the data inefficiency resulting from online interactions with precise and expensive simulation environments impedes the broader applicability of rl approaches. recently, sequential models, especially the transformer architecture, have exhibited compelling performance in sequential decision-making problems due to their simplicity and scalability to large language models. in this paper, we introduce a novel framework named pcsel inverse design transformer (pit) that abstracts the inverse design of pcsel as a sequence modeling problem. the central part of our pit is a transformer-based structure that leverages the past trajectories and current states to predict the current actions. compared with the traditional rl approaches, pit can output the optimal actions and achieve target pcsel designs by leveraging offline data and conditioning on the desired return. results demonstrate that pit achieves superior performance and data efficiency compared to baselines.",2024-03-08
"76","improving the open cluster census. iii. using cluster masses, radii, and dynamics to create a cleaned open cluster catalogue","emily l. hunt, sabine reffert","astrophysics of galaxies","the census of open clusters has exploded in size thanks to data from the gaia satellite. however, it is likely that many of these reported clusters are not gravitationally bound, making the open cluster census impractical for many scientific applications. we test different physically motivated methods for distinguishing between bound and unbound clusters, using them to create a cleaned cluster catalogue. we derived completeness-corrected photometric masses for 6956 clusters from our earlier work. then, we used these masses to compute the size of the roche surface of these clusters (their jacobi radius) and distinguish between bound and unbound clusters. we find that only 5647 (79%) of the clusters from our previous catalogue are compatible with bound open clusters, dropping to just 11% of clusters within 250 pc. 3530 open clusters are in a strongly cut high quality sample. the moving groups in our sample show different trends in their size as a function of age and mass, suggesting that they are unbound and undergoing different dynamical processes. our cluster mass measurements constitute the largest catalogue of milky way cluster masses to date, which we also use for further science. firstly, we inferred the mass-dependent completeness limit of the open cluster census, showing that the census is complete within 1.8 kpc only for objects heavier than 230 m$_\odot$. next, we derived a completeness-corrected age and mass function for our open cluster catalogue, including estimating that the milky way contains a total of $1.3 \times 10^5$ open clusters, only ~4% of which are currently known. finally, we show that most open clusters have mass functions compatible with the kroupa initial mass function. we demonstrate jacobi radii for distinguishing between bound and unbound star clusters, and publish an updated star cluster catalogue with masses and improved cluster classifications. (abridged)",2024-03-08
"77","single family algebra operation on zdds leads to exponential blow-up","kengo nakamura, masaaki nishino, shuhei denzumi","data structures and algorithms","zero-suppressed binary decision diagram (zdd) is a data structure to represent a family of (sub)sets compactly, and it can be used as a succinct index for a family of sets. to build zdd representing a desired family of sets, there are many transformation operations that take zdds as inputs and output zdd representing the resultant family after performing operations such as set union and intersection. however, except for some basic operations, the worst-time complexity of taking such transformation on zdds has not been extensively studied, and some contradictory statements about it have arisen in the literature. in this paper, we show that many transformation operations on zdds cannot be performed in worst-case polynomial time with respect to the size of input zdds. this refutes some of the folklore circulated in past literature and resolves an open problem raised by knuth. our results are stronger in that such blow-up of computational time occurs even when the ordering, which has a significant impact on the efficiency of treating zdds, is reasonable.",2024-03-08
"78","data-dependent lsh for the earth mover's distance","rajesh jayaram, erik waingarten, tian zhang","data structures and algorithms","we give new data-dependent locality sensitive hashing schemes (lsh) for the earth mover's distance ($\mathsf{emd}$), and as a result, improve the best approximation for nearest neighbor search under $\mathsf{emd}$ by a quadratic factor. here, the metric $\mathsf{emd}_s(\mathbb{r}^d,\ell_p)$ consists of sets of $s$ vectors in $\mathbb{r}^d$, and for any two sets $x,y$ of $s$ vectors the distance $\mathsf{emd}(x,y)$ is the minimum cost of a perfect matching between $x,y$, where the cost of matching two vectors is their $\ell_p$ distance. previously, andoni, indyk, and krauthgamer gave a (data-independent) locality-sensitive hashing scheme for $\mathsf{emd}_s(\mathbb{r}^d,\ell_p)$ when $p \in [1,2]$ with approximation $o(\log^2 s)$. by being data-dependent, we improve the approximation to $\tilde{o}(\log s)$. our main technical contribution is to show that for any distribution $\mu$ supported on the metric $\mathsf{emd}_s(\mathbb{r}^d, \ell_p)$, there exists a data-dependent lsh for dense regions of $\mu$ which achieves approximation $\tilde{o}(\log s)$, and that the data-independent lsh actually achieves a $\tilde{o}(\log s)$-approximation outside of those dense regions. finally, we show how to ""glue"" together these two hashing schemes without any additional loss in the approximation. beyond nearest neighbor search, our data-dependent lsh also gives optimal (distributional) sketches for the earth mover's distance. by known sketching lower bounds, this implies that our lsh is optimal (up to $\mathrm{poly}(\log \log s)$ factors) among those that collide close points with constant probability.",2024-03-08
"79","a basic lower bound for property testing","eldar fischer","data structures and algorithms","an $\epsilon$-test for any non-trivial property (one for which there are both satisfying inputs and inputs of large distance from the property) should use a number of queries that is at least inversely proportional in $\epsilon$. however, to the best of our knowledge there is no reference proof for this intuition. such a proof is provided here. it is written so as to not require any prior knowledge of the related literature, and in particular does not use yao's method.",2024-03-08
"80","np-completeness for the space-optimality of double-array tries","hideo bannai, keisuke goto, shunsuke kanda, dominik köppl","data structures and algorithms","indexing a set of strings for prefix search or membership queries is a fundamental task with many applications such as information retrieval or database systems. a classic abstract data type for modelling such an index is a trie. due to the fundamental nature of this problem, it has sparked much interest, leading to a variety of trie implementations with different characteristics. a trie implementation that has been well-used in practice is the double-array (trie) consisting of merely two integer arrays. while a traversal takes constant time per node visit, the needed space consumption in computer words can be as large as the product of the number of nodes and the alphabet size. despite that several heuristics have been proposed on lowering the space requirements, we are unaware of any theoretical guarantees. in this paper, we study the decision problem whether there exists a double-array of a given size. to this end, we first draw a connection to the sparse matrix compression problem, which makes our problem np-complete for alphabet sizes linear to the number of nodes. we further propose a reduction from the restricted directed hamiltonian path problem, leading to np-completeness even for logarithmic-sized alphabets.",2024-03-07
"81","a mixed-integer conic program for the moving-target traveling salesman problem based on a graph of convex sets","allen george philip, zhongqiang ren, sivakumar rathinam, howie choset","robotics","this paper introduces a new formulation that finds the optimum for the moving-target traveling salesman problem (mt-tsp), which seeks to find a shortest path for an agent, that starts at a depot, visits a set of moving targets exactly once within their assigned time-windows, and returns to the depot. the formulation relies on the key idea that when the targets move along lines, their trajectories become convex sets within the space-time coordinate system. the problem then reduces to finding the shortest path within a graph of convex sets, subject to some speed constraints. we compare our formulation with the current state-of-the-art mixed integer conic program (micp) solver for the mt-tsp. the experimental results show that our formulation outperforms the micp for instances with up to 20 targets, with up to two orders of magnitude reduction in runtime, and up to a 60\% tighter optimality gap. we also show that the solution cost from the convex relaxation of our formulation provides significantly tighter lower bounds for the mt-tsp than the ones from the micp.",2024-03-07
"82","towards robust data-driven automated recovery of symbolic conservation laws from limited data","tracey oellerich, maria emelianenko","numerical analysis","conservation laws are an inherent feature in many systems modeling real world phenomena, in particular, those modeling biological and chemical systems. if the form of the underlying dynamical system is known, linear algebra and algebraic geometry methods can be used to identify the conservation laws. our work focuses on using data-driven methods to identify the conservation law(s) in the absence of the knowledge of system dynamics. building in part upon the ideas proposed in [arxiv:1811.00961], we develop a robust data-driven computational framework that automates the process of identifying the number and type of the conservation law(s) while keeping the amount of required data to a minimum. we demonstrate that due to relative stability of singular vectors to noise we are able to reconstruct correct conservation laws without the need for excessive parameter tuning. while we focus primarily on biological examples, the framework proposed herein is suitable for a variety of data science applications and can be coupled with other machine learning approaches.",2024-03-07
"83","improved lower bound for differentially private facility location","pasin manurangsi","data structures and algorithms","we consider the differentially private (dp) facility location problem in the so called super-set output setting proposed by gupta et al. [soda 2010]. the current best known expected approximation ratio for an $\epsilon$-dp algorithm is $o\left(\frac{\log n}{\sqrt{\epsilon}}\right)$ due to cohen-addad et al. [aistats 2022] where $n$ denote the size of the metric space, meanwhile the best known lower bound is $\omega(1/\sqrt{\epsilon})$ [neurips 2019]. in this short note, we give a lower bound of $\tilde{\omega}\left(\min\left\{\log n, \sqrt{\frac{\log n}{\epsilon}}\right\}\right)$ on the expected approximation ratio of any $\epsilon$-dp algorithm, which is the first evidence that the approximation ratio has to grow with the size of the metric space.",2024-03-07
"84","corrective or backfire: characterizing and predicting user response to social correction","bing he, yingchen ma, mustaque ahamad, srijan kumar","social and information networks","online misinformation poses a global risk with harmful implications for society. ordinary social media users are known to actively reply to misinformation posts with counter-misinformation messages, which is shown to be effective in containing the spread of misinformation. such a practice is defined as ""social correction"". nevertheless, it remains unknown how users respond to social correction in real-world scenarios, especially, will it have a corrective or backfire effect on users. investigating this research question is pivotal for developing and refining strategies that maximize the efficacy of social correction initiatives. to fill this gap, we conduct an in-depth study to characterize and predict the user response to social correction in a data-driven manner through the lens of x (formerly twitter), where the user response is instantiated as the reply that is written toward a counter-misinformation message. particularly, we first create a novel dataset with 55, 549 triples of misinformation tweets, counter-misinformation replies, and responses to counter-misinformation replies, and then curate a taxonomy to illustrate different kinds of user responses. next, fine-grained statistical analysis of reply linguistic and engagement features as well as repliers' user attributes is conducted to illustrate the characteristics that are significant in determining whether a reply will have a corrective or backfire effect. finally, we build a user response prediction model to identify whether a social correction will be corrective, neutral, or have a backfire effect, which achieves a promising f1 score of 0.816. our work enables stakeholders to monitor and predict user responses effectively, thus guiding the use of social correction to maximize their corrective impact and minimize backfire effects. the code and data is accessible on this https url.",2024-03-07
"85","specifying and verifying the convergence stairs of the collatz program","ali ebnenasir","discrete mathematics","this paper presents an algorithmic method that, given a positive integer $j$, generates the $j$-th convergence stair containing all natural numbers from where the collatz conjecture holds by exactly $j$ applications of the collatz function. to this end, we present a novel formulation of the collatz conjecture as a concurrent program, and provide the general case specification of the $j$-th convergence stair for any $j > 0$. the proposed specifications provide a layered and linearized orientation of collatz numbers organized in an infinite set of infinite binary trees. to the best of our knowledge, this is the first time that such a general specification is provided, which can have significant applications in analyzing and testing the behaviors of complex non-linear systems. we have implemented this method as a software tool that generates the collatz numbers of individual stairs. we also show that starting from any value in any convergence stair the conjecture holds. however, to prove the conjecture, one has to show that every natural number will appear in some stair; i.e., the union of all stairs is equal to the set of natural numbers, which remains an open problem.",2024-02-29
"86","sq lower bounds for non-gaussian component analysis with weaker assumptions","ilias diakonikolas, daniel kane, lisheng ren, yuxin sun","machine learning","we study the complexity of non-gaussian component analysis (ngca) in the statistical query (sq) model. prior work developed a general methodology to prove sq lower bounds for this task that have been applicable to a wide range of contexts. in particular, it was known that for any univariate distribution $a$ satisfying certain conditions, distinguishing between a standard multivariate gaussian and a distribution that behaves like $a$ in a random hidden direction and like a standard gaussian in the orthogonal complement, is sq-hard. the required conditions were that (1) $a$ matches many low-order moments with the standard univariate gaussian, and (2) the chi-squared norm of $a$ with respect to the standard gaussian is finite. while the moment-matching condition is necessary for hardness, the chi-squared condition was only required for technical reasons. in this work, we establish that the latter condition is indeed not necessary. in particular, we prove near-optimal sq lower bounds for ngca under the moment-matching condition only. our result naturally generalizes to the setting of a hidden subspace. leveraging our general sq lower bound, we obtain near-optimal sq lower bounds for a range of concrete estimation tasks where existing techniques provide sub-optimal or even vacuous guarantees.",2024-03-07
"87","a sub-quadratic time algorithm for robust sparse mean estimation","ankit pensia","data structures and algorithms","we study the algorithmic problem of sparse mean estimation in the presence of adversarial outliers. specifically, the algorithm observes a \emph{corrupted} set of samples from $\mathcal{n}(\mu,\mathbf{i}_d)$, where the unknown mean $\mu \in \mathbb{r}^d$ is constrained to be $k$-sparse. a series of prior works has developed efficient algorithms for robust sparse mean estimation with sample complexity $\mathrm{poly}(k,\log d, 1/\epsilon)$ and runtime $d^2 \mathrm{poly}(k,\log d,1/\epsilon)$, where $\epsilon$ is the fraction of contamination. in particular, the fastest runtime of existing algorithms is quadratic ($\omega(d^2)$), which can be prohibitive in high dimensions. this quadratic barrier in the runtime stems from the reliance of these algorithms on the sample covariance matrix, which is of size $d^2$. our main contribution is an algorithm for robust sparse mean estimation which runs in \emph{subquadratic} time using $\mathrm{poly}(k,\log d,1/\epsilon)$ samples. we also provide analogous results for robust sparse pca. our results build on algorithmic advances in detecting weak correlations, a generalized version of the light-bulb problem by valiant.",2024-03-07
"88","mmplace: robust place recognition with intermediate frequency signal of low-cost single-chip millimeter wave radar","chengzhen meng, yifan duan, chenming he, dequan wang, xiaoran fan, yanyong zhang","robotics","place recognition is crucial for tasks like loop-closure detection and re-localization. single-chip millimeter wave radar (single-chip radar in short) emerges as a low-cost sensor option for place recognition, with the advantage of insensitivity to degraded visual environments. however, it encounters two challenges. firstly, sparse point cloud from single-chip radar leads to poor performance when using current place recognition methods, which assume much denser data. secondly, its performance significantly declines in scenarios involving rotational and lateral variations, due to limited overlap in its field of view (fov). we propose mmplace, a robust place recognition system to address these challenges. specifically, mmplace transforms intermediate frequency (if) signal into range azimuth heatmap and employs a spatial encoder to extract features. additionally, to improve the performance in scenarios involving rotational and lateral variations, mmplace employs a rotating platform and concatenates heatmaps in a rotation cycle, effectively expanding the system's fov. we evaluate mmplace's performance on the millisonic dataset, which is collected on the university of science and technology of china (ustc) campus, the city roads surrounding the campus, and an underground parking garage. the results demonstrate that mmplace outperforms point cloud-based methods and achieves 87.37% recall@1 in scenarios involving rotational and lateral variations.",2024-03-07
"89","on $[1,2]$-domination in interval and circle graphs","mohsen alambardar meybodi, abolfazl poureidi","computational complexity","a subset $s$ of vertices in a graph $g=(v, e)$ is dominating set if each vertex in $v(g)\setminus s$ is adjacent to at least one vertex in $s$. chellali et al. in 2013, by restricting the number of neighbors in $s$ of a vertex outside $s$, introduced the concept of $[1,j]$-dominating set. a set $d \subseteq v$ of a graph $g = (v, e)$ is called $[1,j]$-dominating set of $g$ if every vertex not in $d$ has at least one neighbor and at most $j$ neighbors in $d$. the minimum $[1,j]$-domination problem is the problem of finding the minimum set $d$. given a positive integer $k$ and a graph $g = (v, e)$, the $[1,j]$-domination decision problem is to decide whether $g$ has $[1,j]$-dominating set of cardinality at most $k$. a polynomial-time algorithm was obtained in split graphs for a constant $j$ in contrast to the classic dominating set problem which is np-hard in split graphs. this result motivates us to investigate the effect of restriction $j$ on the complexity of $[1,j]$-domination problem on various classes of graphs. although for $j\geq 3$, it has been proved that the minimum of classical domination is equal to minimum $[1,j]$-domination in interval graphs, the complexity of finding the minimum $[1,2]$-domination in interval graphs is still outstanding. in this paper, we propose a polynomial-time algorithm for computing a minimum $[1,2]$ on non-proper interval graphs by a dynamic programming technique. next, on the negative side, we show that the minimum $[1,2]$-dominating set problem on circle graphs is $np$-complete.",2024-03-07
"90","time-aware projections: truly node-private graph statistics under continual observation","palak jain, adam smith, connor wagaman","data structures and algorithms","we describe the first algorithms that satisfy the standard notion of node-differential privacy in the continual release setting (i.e., without an assumed promise on input streams). previous work addresses node-private continual release by assuming an unenforced promise on the maximum degree in a graph; indeed, the algorithms from these works exhibit blatant privacy violations when the degree bound is not met. our algorithms are accurate on sparse graphs, for several fundamental graph problems: counting edges, triangles, other subgraphs, and connected components; and releasing degree histograms. our unconditionally private algorithms generally have optimal error, up to polylogarithmic factors and lower-order terms. we provide general transformations that take a base algorithm for the continual release setting, which need only be private for streams satisfying a promised degree bound, and produce an algorithm that is unconditionally private yet mimics the base algorithm when the stream meets the degree bound (and adds only linear overhead to the time and space complexity of the base algorithm). to do so, we design new projection algorithms for graph streams, based on the batch-model techniques of day et al. 2016 and blocki et al. 2013, which modify the stream to limit its degree. our main technical innovation is to show that the projections are stable -- meaning that similar input graphs have similar projections -- when the input stream satisfies a privately testable safety condition. our transformation then follows a novel online variant of the propose-test-release framework (dwork and lei, 2009), privately testing the safety condition before releasing output at each step.",2024-03-07
"91","optimizing inventory placement for a downstream online matching problem","boris epstein, will ma (columbia university)","data structures and algorithms","we study the inventory placement problem of splitting $q$ units of a single item across warehouses, in advance of a downstream online matching problem that represents the dynamic fulfillment decisions of an e-commerce retailer. this is a challenging problem both in theory, because the downstream matching problem itself is computationally hard, and in practice, because the fulfillment team is constantly updating its algorithm and the placement team cannot directly evaluate how a placement decision would perform. we compare the performance of three placement procedures based on optimizing surrogate functions that have been studied and applied: offline, myopic, and fluid placement. on the theory side, we show that optimizing inventory placement for the offline surrogate leads to a $(1-(1-1/d)^d)/2$-approximation for the joint placement and fulfillment problem. we assume $d$ is an upper bound on how many warehouses can serve any demand location and that stochastic arrivals satisfy either temporal or spatial independence. the crux of our theoretical contribution is to use randomized rounding to derive a tight $(1-(1-1/d)^d)$-approximation for the integer programming problem of optimizing the offline surrogate. we use statistical learning to show that rounding after optimizing a sample-average offline surrogate, which is necessary due to the exponentially-sized support, does indeed have vanishing loss. on the experimental side, we extract real-world sequences of customer orders from publicly-available this http url data and evaluate different combinations of placement and fulfillment procedures. optimizing the offline surrogate performs best overall, even compared to simulation procedures, corroborating our theory.",2024-03-07
"92","algorithms and complexity for path covers of temporal dags: when is dilworth dynamic?","dibyayan chakraborty, antoine dailly, florent foucaud, ralf klasing","data structures and algorithms","in this paper, we study a dynamic analogue of the path cover problem, which can be solved in polynomial-time in directed acyclic graphs. a temporal digraph has an arc set that changes over discrete time-steps, if the underlying digraph (the union of all the arc sets) is acyclic, then we have a temporal dag. a temporal path is a directed path in the underlying digraph, such that the time-steps of arcs are strictly increasing along the path. two temporal paths are temporally disjoint if they do not occupy any vertex at the same time. a temporal (resp. temporally disjoint) path cover is a collection of (resp. temporally disjoint) temporal paths that covers all vertices. in this paper, we study the computational complexities of the problems of finding a temporal (disjoint) path cover with minimum cardinality, denoted as temporal path cover (tpc) and temporally disjoint path cover (td-pc). we show that both problems are np-hard even when the underlying dag is planar, bipartite, subcubic, and there are only two arc-disjoint time-steps. moreover, td-pc remains np-hard even on temporal oriented trees. in contrast, we show that tpc is polynomial-time solvable on temporal oriented trees by a reduction to clique cover for (static undirected) weakly chordal graphs (a subclass of perfect graphs for which clique cover admits an efficient algorithm). this highlights an interesting algorithmic difference between the two problems. although it is np-hard on temporal oriented trees, td-pc becomes polynomial-time solvable on temporal oriented lines and temporal rooted directed trees. we also show that tpc (resp. td-pc) admits an xp (resp. fpt) time algorithm with respect to parameter tmax + tw, where tmax is the maximum time-step, and tw is the treewidth of the underlying static undirected graph.",2024-03-07
"93","a simple and near-optimal algorithm for directed expander decompositions","aurelio l. sulser, maximilian probst gutenberg","data structures and algorithms","in this work, we present the first algorithm to compute expander decompositions in an $m$-edge directed graph with near-optimal time $\tilde{o}(m)$. further, our algorithm can maintain such a decomposition in a dynamic graph and again obtains near-optimal update times. our result improves over previous algorithms of bernstein-probst gutenberg-saranurak (focs 2020), hua-kyng-probst gutenberg-wu (soda 2023) that only obtained algorithms optimal up to subpolynomial factors. at the same time, our algorithm is much simpler and more accessible than previous work. in order to obtain our new algorithm, we present a new push-pull-relabel flow framework that generalizes the classic push-relabel flow algorithm of goldberg-tarjan (jacm 1988), which was later dynamized for computing expander decompositions in undirected graphs by henzinger-rao-wang (siam j. comput. 2020), saranurak-wang (soda 2019). we then show that the flow problems formulated in recent work of hua-kyng-probst gutenberg-wu (soda 2023) to decompose directed graphs can be solved much more efficiently in the push-pull-relabel flow framework.",2024-03-07
"94","conflict and fairness in resource allocation","susobhan bandopadhyay, aritra banik, sushmita gupta, pallavi jain, abhishek sahu, saket saurabh, prafullkumar tale","computer science and game theory","in the standard model of fair allocation of resources to agents, every agent has some utility for every resource, and the goal is to assign resources to agents so that the agents' welfare is maximized. motivated by job scheduling, interest in this problem dates back to the work of deuermeyer et al. [siam j. on algebraic discrete methods'82]. recent works consider the compatibility between resources and assign only mutually compatible resources to an agent. we study a fair allocation problem in which we are given a set of agents, a set of resources, a utility function for every agent over a set of resources, and a {\it conflict graph} on the set of resources (where an edge denotes incompatibility). the goal is to assign resources to the agents such that $(i)$ the set of resources allocated to an agent are compatible with each other, and $(ii)$ the minimum satisfaction of an agent is maximized, where the satisfaction of an agent is the sum of the utility of the assigned resources. chiarelli et al. [algorithmica'22] explore this problem from the classical complexity perspective to draw the boundary between the cases that are polynomial-time solvable and those that are \np-hard. in this article, we study the parameterized complexity of the problem (and its variants) by considering several natural and structural parameters.",2024-03-07
"95","switching classes: characterization and computation","dhanyamol antony, yixin cao, sagartanu pal, r.b. sandeep","data structures and algorithms","in a graph, the switching operation reverses adjacencies between a subset of vertices and the others. for a hereditary graph class $\mathcal{g}$, we are concerned with the maximum subclass and the minimum superclass of $\mathcal{g}$ that are closed under switching. we characterize the maximum subclass for many important classes $\mathcal{g}$, and prove that it is finite when $\mathcal{g}$ is minor-closed and omits at least one graph. for several graph classes, we develop polynomial-time algorithms to recognize the minimum superclass. we also show that the recognition of the superclass is np-complete for $h$-free graphs when $h$ is a sufficiently long path or cycle, and it cannot be solved in subexponential time assuming the exponential time hypothesis.",2024-03-07
"96","equivalence testing: the power of bounded adaptivity","diptarka chakraborty, sourav chakraborty, gunjan kumar, kuldeep s. meel","data structures and algorithms","equivalence testing, a fundamental problem in the field of distribution testing, seeks to infer if two unknown distributions on $[n]$ are the same or far apart in the total variation distance. conditional sampling has emerged as a powerful query model and has been investigated by theoreticians and practitioners alike, leading to the design of optimal algorithms albeit in a sequential setting (also referred to as adaptive tester). given the profound impact of parallel computing over the past decades, there has been a strong desire to design algorithms that enable high parallelization. despite significant algorithmic advancements over the last decade, parallelizable techniques (also termed non-adaptive testers) have $\tilde{o}(\log^{12}n)$ query complexity, a prohibitively large complexity to be of practical usage. therefore, the primary challenge is whether it is possible to design algorithms that enable high parallelization while achieving efficient query complexity. our work provides an affirmative answer to the aforementioned challenge: we present a highly parallelizable tester with a query complexity of $\tilde{o}(\log n)$, achieved through a single round of adaptivity, marking a significant stride towards harmonizing parallelizability and efficiency in equivalence testing.",2024-03-07
"97","fl-guard: a holistic framework for run-time detection and recovery of negative federated learning","hong lin, lidan shou, ke chen, gang chen, sai wu","machine learning","federated learning (fl) is a promising approach for learning a model from data distributed on massive clients without exposing data privacy. it works effectively in the ideal federation where clients share homogeneous data distribution and learning behavior. however, fl may fail to function appropriately when the federation is not ideal, amid an unhealthy state called negative federated learning (nfl), in which most clients gain no benefit from participating in fl. many studies have tried to address nfl. however, their solutions either (1) predetermine to prevent nfl in the entire learning life-cycle or (2) tackle nfl in the aftermath of numerous learning rounds. thus, they either (1) indiscriminately incur extra costs even if fl can perform well without such costs or (2) waste numerous learning rounds. additionally, none of the previous work takes into account the clients who may be unwilling/unable to follow the proposed nfl solutions when using those solutions to upgrade an fl system in use. this paper introduces fl-guard, a holistic framework that can be employed on any fl system for tackling nfl in a run-time paradigm. that is, to dynamically detect nfl at the early stage (tens of rounds) of learning and then to activate recovery measures when necessary. specifically, we devise a cost-effective nfl detection mechanism, which relies on an estimation of performance gain on clients. only when nfl is detected, we activate the nfl recovery process, in which each client learns in parallel an adapted model when training the global model. extensive experiment results confirm the effectiveness of fl-guard in detecting nfl and recovering from nfl to a healthy learning state. we also show that fl-guard is compatible with previous nfl solutions and robust against clients unwilling/unable to take any recovery measures.",2024-03-07
"98","optimal scheduling of graph states via path decompositions","samuel j. elman, jason gavriel, ryan l. mann","quantum physics","we study the optimal scheduling of graph states in measurement-based quantum computation, establishing an equivalence between measurement schedules and path decompositions of graphs. we define the spatial cost of a measurement schedule based on the number of simultaneously active qubits and prove that an optimal measurement schedule corresponds to a path decomposition of minimal width. our analysis shows that approximating the spatial cost of a graph is $\textsf{np}$-hard, while for graphs with bounded spatial cost, we establish an efficient algorithm for computing an optimal measurement schedule.",2024-03-07
"99","understanding biology in the age of artificial intelligence","elsa lawrence, adham el-shazly, srijit seal, chaitanya k joshi, pietro liò, shantanu singh, andreas bender, pietro sormanni, matthew greenig","artificial intelligence","modern life sciences research is increasingly relying on artificial intelligence approaches to model biological systems, primarily centered around the use of machine learning (ml) models. although ml is undeniably useful for identifying patterns in large, complex data sets, its widespread application in biological sciences represents a significant deviation from traditional methods of scientific inquiry. as such, the interplay between these models and scientific understanding in biology is a topic with important implications for the future of scientific research, yet it is a subject that has received little attention. here, we draw from an epistemological toolkit to contextualize recent applications of ml in biological sciences under modern philosophical theories of understanding, identifying general principles that can guide the design and application of ml systems to model biological phenomena and advance scientific knowledge. we propose that conceptions of scientific understanding as information compression, qualitative intelligibility, and dependency relation modelling provide a useful framework for interpreting ml-mediated understanding of biological systems. through a detailed analysis of two key application areas of ml in modern biological research - protein structure prediction and single cell rna-sequencing - we explore how these features have thus far enabled ml systems to advance scientific understanding of their target phenomena, how they may guide the development of future ml models, and the key obstacles that remain in preventing ml from achieving its potential as a tool for biological discovery. consideration of the epistemological features of ml applications in biology will improve the prospects of these methods to solve important problems and advance scientific understanding of living systems.",2024-03-06
"100","semi-supervised dialogue abstractive summarization via high-quality pseudolabel selection","jianfeng he, hang su, jason cai, igor shalyminov, hwanjun song, saab mansour","computation and language","semi-supervised dialogue summarization (ssds) leverages model-generated summaries to reduce reliance on human-labeled data and improve the performance of summarization models. while addressing label noise, previous works on semi-supervised learning primarily focus on natural language understanding tasks, assuming each sample has a unique label. however, these methods are not directly applicable to ssds, as it is a generative task, and each dialogue can be summarized in different ways. in this work, we propose a novel scoring approach, sicf, which encapsulates three primary dimensions of summarization model quality: semantic invariance (indicative of model confidence), coverage (factual recall), and faithfulness (factual precision). using the sicf score, we select unlabeled dialogues with high-quality generated summaries to train summarization models. comprehensive experiments on three public datasets demonstrate the effectiveness of sicf scores in uncertainty estimation and semi-supervised learning for dialogue summarization tasks. our code is available at \url{this https url}.",2024-03-06
"101","a sierpinski triangle data structure for efficient array value update and prefix sum calculation","brent harrison, jason necaise, andrew projansky, james d. whitfield","data structures and algorithms","the binary indexed tree, or fenwick tree, is a data structure that can efficiently update values and calculate prefix sums in an array. it allows both of these operations to be performed in $o(\log_2 n)$ time. here we present a novel data structure resembling the sierpinski triangle, which accomplishes these operations with the same memory usage in $o(\log_3 n)$ time instead. we show this order to be optimal by making use of a connection to quantum computing.",2024-03-06
